tclass,stratum,verifier,n,n_true,n_false,n_timeout,n_error,n_eval,n_fail,in_contract,coverage,err_rate,timeout_rate,fn_rate_all,failure_rate,fp_rate_all,fn_rate,fp_rate
certified_equiv,S6_whitespace,mathverify_latex,15704,9858,5846,0,0,15704,5846,True,1.0,0.0,0.0,0.37226184411614877,0.37226184411614877,,0.37226184411614877,
certified_equiv,S6_whitespace,strip_string,15704,15010,694,0,0,15704,694,True,1.0,0.0,0.0,0.04419256240448293,0.04419256240448293,,0.04419256240448293,
certified_equiv,S6_whitespace,sympy_cascade,15704,15010,0,0,694,15010,694,True,0.9558074375955171,0.04419256240448293,0.0,0.0,0.04419256240448293,,0.0,
certified_equiv,S7_sqrt_exp,mathverify_expr,404,277,127,0,0,404,127,False,1.0,0.0,0.0,0.31435643564356436,0.31435643564356436,,0.31435643564356436,
certified_equiv,S7_sqrt_exp,mathverify_latex,404,403,1,0,0,404,1,True,1.0,0.0,0.0,0.0024752475247524753,0.0024752475247524753,,0.0024752475247524753,
certified_equiv,S7_sqrt_exp,strip_string,404,262,142,0,0,404,142,True,1.0,0.0,0.0,0.35148514851485146,0.35148514851485146,,0.35148514851485146,
certified_equiv,S7_sqrt_exp,sympy_cascade,404,262,0,0,142,262,142,True,0.6485148514851485,0.35148514851485146,0.0,0.0,0.35148514851485146,,0.0,
certified_equiv,S9_grouping,mathverify_expr,573,573,0,0,0,573,0,True,1.0,0.0,0.0,0.0,0.0,,0.0,
certified_equiv,S9_grouping,mathverify_latex,573,573,0,0,0,573,0,True,1.0,0.0,0.0,0.0,0.0,,0.0,
certified_equiv,S9_grouping,strip_string,573,573,0,0,0,573,0,True,1.0,0.0,0.0,0.0,0.0,,0.0,
certified_equiv,S9_grouping,sympy_cascade,573,573,0,0,0,573,0,True,1.0,0.0,0.0,0.0,0.0,,0.0,
contract_dep,S11_text,mathverify_expr,9980,2810,7170,0,0,9980,7170,True,1.0,0.0,0.0,,,,,
contract_dep,S11_text,mathverify_latex,9980,3955,6025,0,0,9980,6025,True,1.0,0.0,0.0,,,,,
contract_dep,S11_text,strip_string,9980,4877,5103,0,0,9980,5103,True,1.0,0.0,0.0,,,,,
contract_dep,S11_text,sympy_cascade,9980,4878,0,0,5102,4878,5102,True,0.4887775551102204,0.5112224448897795,0.0,,,,,
contract_dep,S12_units,mathverify_expr,2782,1391,1391,0,0,2782,1391,True,1.0,0.0,0.0,,,,,
contract_dep,S12_units,mathverify_latex,2782,2782,0,0,0,2782,0,True,1.0,0.0,0.0,,,,,
contract_dep,S12_units,strip_string,2782,2782,0,0,0,2782,0,True,1.0,0.0,0.0,,,,,
contract_dep,S12_units,sympy_cascade,2782,2782,0,0,0,2782,0,True,1.0,0.0,0.0,,,,,
contract_dep,S13_percent,mathverify_expr,20,0,20,0,0,20,20,True,1.0,0.0,0.0,,,,,
contract_dep,S13_percent,mathverify_latex,20,20,0,0,0,20,0,True,1.0,0.0,0.0,,,,,
contract_dep,S13_percent,strip_string,20,0,20,0,0,20,20,True,1.0,0.0,0.0,,,,,
contract_dep,S13_percent,sympy_cascade,20,0,20,0,0,20,20,True,1.0,0.0,0.0,,,,,
contract_dep,S3_boxing,mathverify_expr,19952,1604,18348,0,0,19952,18348,True,1.0,0.0,0.0,,,,,
contract_dep,S3_boxing,mathverify_latex,19952,14978,4974,0,0,19952,4974,True,1.0,0.0,0.0,,,,,
contract_dep,S3_boxing,strip_string,19952,0,19952,0,0,19952,19952,True,1.0,0.0,0.0,,,,,
contract_dep,S3_boxing,sympy_cascade,19952,0,0,0,19952,0,19952,True,0.0,1.0,0.0,,,,,
contract_dep,S8_scientific,mathverify_expr,326,0,326,0,0,326,326,True,1.0,0.0,0.0,,,,,
contract_dep,S8_scientific,mathverify_latex,326,326,0,0,0,326,0,True,1.0,0.0,0.0,,,,,
contract_dep,S8_scientific,strip_string,326,0,326,0,0,326,326,True,1.0,0.0,0.0,,,,,
contract_dep,S8_scientific,sympy_cascade,326,0,0,0,326,0,326,True,0.0,1.0,0.0,,,,,
